ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"Department\" Name=\"field_1\" ID=\"{3f140692-3824-49ff-a318-fc3eb11cf549}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"Expense Type\" Name=\"field_2\" ID=\"{6cae3180-96aa-4656-9636-2ab3e12dcfed}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"Amount\" Name=\"field_3\" ID=\"{4a0594f6-98de-43eb-8918-af1c1f0e3bd6}\" StaticName=\"field_3\" />","<Field Type=\"Text\" DisplayName=\"Date\" Name=\"field_4\" ID=\"{b3d8c2c6-0aab-4154-9068-06cee7518de0}\" StaticName=\"field_4\" />","<Field Type=\"Text\" DisplayName=\"Location\" Name=\"field_5\" ID=\"{f3bc0e3a-d5e2-44b6-939a-9a03b27d60ee}\" StaticName=\"field_5\" />","<Field Type=\"Text\" DisplayName=\"Project Name\" Name=\"field_6\" ID=\"{2cf6ec90-c493-402b-9afa-5757aab0e868}\" StaticName=\"field_6\" />","<Field Type=\"Text\" DisplayName=\"Vendor\" Name=\"field_7\" ID=\"{1fd1aba8-a35c-4ffc-8e14-62b233b71932}\" StaticName=\"field_7\" />","<Field Type=\"Text\" DisplayName=\"Payment Method\" Name=\"field_8\" ID=\"{a218832c-9d9b-48b7-a596-6fda40b3c6e0}\" StaticName=\"field_8\" />","<Field Type=\"Text\" DisplayName=\"Approval Status\" Name=\"field_9\" ID=\"{168c6ca9-7cfc-4fc0-89f7-d603cff04c3a}\" StaticName=\"field_9\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Company Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Company Name","Department","Expense Type","Amount","Date","Location","Project Name","Vendor","Payment Method","Approval Status"
"CyberCore","Operations","Software","8,547.08","2025-06-23","Toronto","Orion","VendorA","Cheque","Pending"
"NetFusion","HR","Travel","2,540.62","2025-01-27","San Francisco","Athena","VendorE","Credit Card","Rejected"
"CyberCore","HR","Salaries","6,543.74","2025-06-01","Toronto","Orion","VendorB","Bank Transfer","Rejected"
"TechNova","R&D","Hardware","8,300.44","2024-11-30","Toronto","Orion","VendorB","Cheque","Approved"
"TechNova","IT","Hardware","493.17","2025-05-27","New York","Orion","VendorB","PayPal","Pending"
"CyberCore","IT","Salaries","7,950.64","2024-09-04","London","Apollo","VendorD","PayPal","Rejected"
"CyberCore","Finance","Salaries","6,958.96","2025-02-11","London","Apollo","VendorA","Credit Card","Approved"
"DataWave","IT","Salaries","1,952.86","2024-08-24","Bangalore","Zeus","VendorB","PayPal","Pending"
"CyberCore","R&D","Consulting","3,857.01","2024-09-07","Bangalore","Zeus","VendorB","Credit Card","Approved"
"CyberCore","IT","Utilities","8,099.13","2024-11-08","Toronto","Athena","VendorC","Bank Transfer","Rejected"
"InnoSoft","Operations","Training","1,618.86","2024-10-15","Toronto","Apollo","VendorA","Cheque","Approved"
"CyberCore","Finance","Hardware","8,005.7","2024-10-19","Bangalore","Athena","VendorB","Cheque","Rejected"
"TechNova","Finance","Consulting","2,886.99","2025-07-01","New York","Zeus","VendorA","Cheque","Approved"
"InnoSoft","IT","Software","4,366.86","2025-06-14","Bangalore","Zeus","VendorB","Credit Card","Rejected"
"CyberCore","R&D","Software","9,054.68","2024-08-04","Toronto","Apollo","VendorE","Bank Transfer","Approved"
"DataWave","Operations","Software","4,605.22","2025-04-19","San Francisco","Zeus","VendorB","Bank Transfer","Rejected"
"NetFusion","HR","Salaries","198.14","2024-08-05","Bangalore","Orion","VendorA","Bank Transfer","Rejected"
"DataWave","Operations","Utilities","382.55","2025-03-25","San Francisco","Athena","VendorE","Bank Transfer","Approved"
"CyberCore","IT","Salaries","4,442.83","2024-11-16","San Francisco","Apollo","VendorE","Bank Transfer","Rejected"
"DataWave","Operations","Hardware","3,357.04","2025-01-31","Bangalore","Athena","VendorE","Credit Card","Rejected"
"CyberCore","Finance","Salaries","3,155.07","2025-02-12","London","Orion","VendorD","PayPal","Pending"
"CyberCore","IT","Travel","6,633.02","2025-05-07","San Francisco","Zeus","VendorD","Credit Card","Pending"
"CyberCore","Finance","Hardware","9,609.89","2024-12-25","London","Hermes","VendorE","Credit Card","Pending"
"CyberCore","R&D","Training","7,224.31","2025-06-15","San Francisco","Hermes","VendorA","PayPal","Approved"
"TechNova","R&D","Software","8,936.23","2025-01-28","London","Zeus","VendorE","PayPal","Rejected"
"InnoSoft","Operations","Travel","705.1","2025-01-18","London","Apollo","VendorA","Cheque","Rejected"
"DataWave","Finance","Hardware","7,243.94","2025-01-03","Berlin","Apollo","VendorC","PayPal","Pending"
"InnoSoft","Operations","Consulting","6,339.05","2025-06-19","Toronto","Hermes","VendorC","Bank Transfer","Pending"
"InnoSoft","Finance","Training","1,059.17","2025-03-18","Bangalore","Zeus","VendorD","Bank Transfer","Approved"
"DataWave","Finance","Software","9,503.89","2025-03-28","London","Hermes","VendorB","PayPal","Pending"
"InnoSoft","Operations","Salaries","2,250.98","2024-10-10","Bangalore","Apollo","VendorC","Credit Card","Rejected"
"DataWave","Finance","Training","491.06","2025-04-22","London","Hermes","VendorA","PayPal","Rejected"
"NetFusion","Finance","Salaries","9,229.14","2024-12-15","London","Hermes","VendorE","Credit Card","Rejected"
"NetFusion","HR","Salaries","3,301.03","2025-05-06","Toronto","Apollo","VendorB","Credit Card","Approved"
