ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Number\" DisplayName=\"Total Revenue (USD Billion)\" Name=\"field_1\" ID=\"{665857ed-fce1-4602-8295-64cd76a50a6e}\" StaticName=\"field_1\" />","<Field Type=\"Number\" DisplayName=\"Export Revenue (USD Billion)\" Name=\"field_2\" ID=\"{88db5297-7c61-4346-8b14-d80e352edc94}\" StaticName=\"field_2\" />","<Field Type=\"Number\" DisplayName=\"Domestic Revenue (USD Billion)\" Name=\"field_3\" ID=\"{44a48e76-973c-4ebc-bb19-632aa1b5565c}\" StaticName=\"field_3\" />","<Field Type=\"Number\" DisplayName=\"IT-BPM % of GDP\" Name=\"field_4\" ID=\"{3d475926-a730-40d3-a77b-33a67326fa59}\" StaticName=\"field_4\" />","<Field Type=\"Number\" DisplayName=\"YoY Growth (%)\" Name=\"field_5\" ID=\"{2d1ab1f8-6cc8-4619-9db6-204db5a4318d}\" StaticName=\"field_5\" />","<Field Type=\"Number\" DisplayName=\"Export Share (%)\" Name=\"field_6\" ID=\"{58068e31-d5b9-4c64-a31b-4aaed1c6fb50}\" StaticName=\"field_6\" />","<Field Type=\"Number\" DisplayName=\"Domestic Share (%)\" Name=\"field_7\" ID=\"{23c5d354-151a-43c8-9d12-f9c76c048e58}\" StaticName=\"field_7\" />","<Field Type=\"Number\" DisplayName=\"Estimated Tax Revenue (15% of Domestic)\" Name=\"field_8\" ID=\"{c43bc16b-ec1a-449f-8169-cf31b8ff4daf}\" StaticName=\"field_8\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Fiscal Year\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Fiscal Year","Total Revenue (USD Billion)","Export Revenue (USD Billion)","Domestic Revenue (USD Billion)","IT-BPM % of GDP","YoY Growth (%)","Export Share (%)","Domestic Share (%)","Estimated Tax Revenue (15% of Domestic)"
"FY 2015","118","95","23","6.5","0","80.5084745762712","19.4915254237288","3.45"
"FY 2016","130","105","25","6.7","10.1694915254237","80.7692307692308","19.2307692307692","3.75"
"FY 2017","140","112","28","6.8","7.69230769230769","80","20","4.2"
"FY 2018","150","120","30","6.9","7.14285714285714","80","20","4.5"
"FY 2019","160","130","30","7","6.66666666666667","81.25","18.75","4.5"
"FY 2020","170","140","30","7.1","6.25","82.3529411764706","17.6470588235294","4.5"
"FY 2021","190","155","35","7.3","11.7647058823529","81.5789473684211","18.4210526315789","5.25"
"FY 2022","200","160","40","7.4","5.26315789473684","80","20","6"
"FY 2023","220","175","45","7.4","10","79.5454545454545","20.4545454545455","6.75"
"FY 2024","240","185","55","7.5","9.09090909090908","77.0833333333333","22.9166666666667","8.25"
"FY 2025","253.9","194","51","7.5","5.79166666666666","76.4080346593147","20.0866482867271","7.65"
